Symbol,Company,CurrentPrice,TotalScore,DividendYield,AvgYield2Y,MaxYield2Y,MarketCap,SizeCategory,SectorJP,SplitFlag,BuySignal,Problem,AvgGrowthRate,CumulativeDividend
8022.T,Mizuno Corporation,3455.0,87,0.017366136034732273,0.017020874693906122,0.025840712106157977,261968773120.0,中型,一般消費財・サービス,,△,,0.1990863531076265,
7456.T,"MATSUDA SANGYO Co., Ltd.",5770.0,84,0.01733102253032929,0.01828413814482729,0.03174866467255701,147815694336.0,中型,素材,,×,現金比率低い,0.1432946944954334,累進
8368.T,"The Hyakugo Bank, Ltd.",1970.0,67,0.017258883248730966,0.02705247309736058,0.04524972856791237,473309151232.0,大型,金融,,×,営業CF合計マイナス/自己資本比率低い,0.145654981205975,累進
4736.T,Nippon RAD Inc.,582.0,74,0.01718213058419244,0.01691475985976114,0.018518518518518517,3206768128.0,超小型,情報技術,,△,,0.1111111111111111,累進
7701.T,Shimadzu Corporation,4064.0,100,0.016978346456692914,0.01538857037933467,0.02107862508732131,1169630035968.0,超大型,情報技術,,△,,0.1577937870467581,累進
2393.T,"Nippon Care Supply Co., Ltd.",4280.0,71,0.016822429906542057,0.03342371764041214,0.03902196305570606,68223774720.0,小型,資本財・サービス,,×,,0.1317000230043708,累進
5991.T,"NHK Spring Co., Ltd.",3925.0,90,0.016815286624203823,0.029331045417286664,0.05476917191230232,805089050624.0,大型,一般消費財・サービス,,×,,0.246185641582061,
3099.T,Isetan Mitsukoshi Holdings Ltd.,4165.0,81,0.01680672268907563,0.023368619437798922,0.03658554558328831,1439507808256.0,超大型,一般消費財・サービス,,×,現金比率低い,0.2660835407212218,
5384.T,Fujimi Incorporated,4515.0,86,0.016611295681063124,0.027963934071306595,0.047957261294996556,337904730112.0,大型,情報技術,,×,現金比率低い,0.2078484853594697,累進
7780.T,"Menicon Co., Ltd.",1692.0,95,0.016548463356973995,0.021667402317271017,0.02827731408663934,126298718208.0,中型,ヘルスケア,,×,,0.1628125870231133,累進
